Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed
SHIP004522,Bangalore,Kolkata,2024-05-25,2024-05-28,2024-05-28,Lorry,1133,Clear,Light,No
SHIP004523,Delhi,Pune,2023-07-22,2023-07-26,2023-07-29,Trailer,1314,Fog,Moderate,Yes
SHIP004524,Lucknow,Mumbai,2023-08-23,2023-08-27,2023-08-28,Container,1454,Clear,Moderate,Yes
SHIP004525,Ahmedabad,Hyderabad,2023-09-03,2023-09-05,2023-09-10,Trailer,723,Rain,Light,Yes
SHIP004526,Chennai,Jaipur,2024-04-14,2024-04-16,2024-04-20,Container,694,Clear,Heavy,Yes
SHIP004527,Jaipur,Kolkata,2023-01-29,2023-02-03,2023-02-03,Trailer,1678,Clear,Light,No
SHIP004528,Chennai,Ahmedabad,2023-10-11,2023-10-17,2023-10-18,Container,1801,Clear,Moderate,Yes
SHIP004529,Jaipur,Chennai,2023-07-09,2023-07-10,2023-07-14,Trailer,481,Fog,Light,Yes
SHIP004530,Delhi,Lucknow,2023-01-01,2023-01-06,2023-01-07,Lorry,1781,Clear,Moderate,Yes
SHIP004531,Chennai,Lucknow,2023-01-04,2023-01-10,2023-01-17,Truck,1836,Storm,Heavy,Yes
SHIP004532,Pune,Chennai,2023-01-01,2023-01-04,2023-01-06,Container,1183,Clear,Heavy,Yes
SHIP004533,Ahmedabad,Kolkata,2023-07-18,2023-07-20,2023-07-20,Trailer,721,Clear,Light,No
SHIP004534,Hyderabad,Kolkata,2023-12-05,2023-12-09,2023-12-15,Trailer,1321,Clear,Moderate,Yes
SHIP004535,Chennai,Delhi,2023-06-10,2023-06-13,2023-06-15,Truck,1039,Clear,Heavy,Yes
SHIP004536,Delhi,Lucknow,2023-04-16,2023-04-22,2023-04-24,Truck,1836,Rain,Moderate,Yes
SHIP004537,Ahmedabad,Delhi,2024-04-22,2024-04-29,2024-04-28,Truck,1964,Clear,Moderate,Yes
SHIP004538,Chennai,Delhi,2023-02-25,2023-03-02,2023-03-02,Truck,1520,Clear,Light,No
SHIP004539,Pune,Hyderabad,2023-03-17,2023-03-23,2023-03-24,Container,1880,Clear,Moderate,Yes
SHIP004540,Mumbai,Hyderabad,2023-07-22,2023-07-27,2023-07-30,Trailer,1558,Storm,Light,Yes
SHIP004541,Pune,Jaipur,2023-05-12,2023-05-18,2023-05-20,Truck,1924,Rain,Moderate,Yes
SHIP004542,Jaipur,Kolkata,2023-02-01,2023-02-02,2023-02-04,Lorry,462,Fog,Light,Yes
SHIP004543,Chennai,Hyderabad,2023-04-20,2023-04-26,2023-05-01,Trailer,1987,Storm,Heavy,Yes
SHIP004544,Ahmedabad,Kolkata,2023-09-25,2023-10-01,2023-10-06,Truck,1929,Clear,Moderate,Yes
SHIP004545,Bangalore,Chennai,2023-01-27,2023-01-31,2023-01-31,Trailer,1490,Clear,Light,No
SHIP004546,Lucknow,Ahmedabad,2023-02-16,2023-02-18,2023-02-18,,633,Clear,Light,No
SHIP004547,Ahmedabad,Lucknow,2024-02-21,2024-02-24,2024-02-25,Trailer,934,Rain,Light,Yes
SHIP004548,Chennai,Pune,2023-01-20,2023-01-24,2023-01-24,Truck,1298,Clear,Light,No
SHIP004549,Bangalore,Mumbai,2024-05-05,2024-05-11,2024-05-15,Trailer,1861,Storm,Moderate,Yes
SHIP004550,Chennai,Hyderabad,2023-05-27,2023-06-01,2023-06-02,Trailer,1559,Clear,Moderate,Yes
SHIP004551,Delhi,Jaipur,2023-11-17,2023-11-20,2023-11-20,Lorry,1185,Clear,Light,No
SHIP004552,Pune,Bangalore,2023-04-15,2023-04-18,2023-04-20,Trailer,1056,Clear,Heavy,Yes
SHIP004553,Pune,Lucknow,2023-10-10,2023-10-11,2023-10-17,Trailer,311,Rain,Light,Yes
SHIP004554,Jaipur,Hyderabad,2023-01-01,2023-01-07,2023-01-12,Container,1892,Clear,Heavy,Yes
SHIP004555,Jaipur,Pune,2024-03-24,2024-03-28,2024-03-31,Container,1317,Clear,Light,Yes
SHIP004556,Jaipur,Hyderabad,2023-10-03,2023-10-05,2023-10-06,Container,870,Rain,Light,Yes
SHIP004557,Jaipur,Chennai,2023-10-25,2023-10-29,2023-10-31,Truck,1357,Fog,Light,Yes
SHIP004558,Delhi,Bangalore,2024-01-15,2024-01-16,2024-01-18,Lorry,243,Clear,Heavy,Yes
SHIP004559,Delhi,Lucknow,2023-08-17,2023-08-20,2023-08-21,Lorry,1055,Rain,Light,Yes
SHIP004560,Bangalore,Chennai,2023-11-25,2023-11-27,2023-12-01,Lorry,841,Clear,Heavy,Yes
SHIP004561,Jaipur,Mumbai,2024-01-03,2024-01-07,2024-01-09,Trailer,1395,Clear,Heavy,Yes
SHIP004562,Delhi,Bangalore,2023-10-16,2023-10-18,2023-10-20,Container,826,Clear,Heavy,Yes
SHIP004563,Pune,Ahmedabad,2023-12-10,2023-12-14,2023-12-15,Trailer,1222,Rain,Light,Yes
SHIP004564,Pune,Mumbai,2023-04-02,2023-04-03,2023-04-05,Lorry,378,Clear,Heavy,Yes
SHIP004565,Bangalore,Chennai,2023-11-30,2023-12-03,2023-12-03,Trailer,964,Clear,Light,No
SHIP004566,Mumbai,Pune,2024-05-01,2024-05-03,2024-05-03,Truck,752,Clear,Light,No
SHIP004567,Mumbai,Kolkata,2024-04-07,2024-04-08,2024-04-08,Lorry,585,Clear,Light,No
SHIP004568,Hyderabad,Pune,2023-03-30,2023-04-04,2023-04-06,Container,1590,Clear,Light,Yes
SHIP004569,Bangalore,Chennai,2023-03-01,2023-03-06,2023-03-09,Truck,1579,Rain,Heavy,Yes
SHIP004570,Chennai,Kolkata,2023-01-04,2023-01-06,2023-01-08,Lorry,836,Clear,Light,Yes
SHIP004571,Kolkata,Bangalore,2024-05-26,2024-05-27,2024-05-30,Container,520,Fog,Moderate,Yes
SHIP004572,Lucknow,Ahmedabad,2024-01-16,2024-01-21,2024-01-23,Container,1583,Fog,Light,Yes
SHIP004573,Bangalore,Chennai,2023-01-21,2023-01-26,2023-01-28,Trailer,1743,Clear,Heavy,Yes
SHIP004574,Kolkata,Bangalore,2023-09-02,2023-09-07,2023-09-07,Trailer,1630,Clear,Light,No
SHIP004575,Jaipur,Lucknow,2023-01-16,2023-01-21,2023-01-24,Trailer,1578,Rain,Light,Yes
SHIP004576,Mumbai,Kolkata,2023-08-13,2023-08-18,2023-08-19,Container,1553,Clear,Moderate,Yes
SHIP004577,Ahmedabad,Pune,2024-01-16,2024-01-19,2024-01-19,Truck,1082,Clear,Light,No
SHIP004578,Delhi,Jaipur,2023-02-22,2023-02-23,2023-02-24,Trailer,414,Clear,Moderate,Yes
SHIP004579,Mumbai,Lucknow,2023-11-09,2023-11-14,2023-11-16,Container,1792,Fog,Light,Yes
SHIP004580,Chennai,Ahmedabad,2023-01-04,2023-01-10,2023-01-12,Container,1942,Clear,Heavy,Yes
SHIP004581,Chennai,Jaipur,2023-07-18,2023-07-20,2023-07-21,Truck,733,Clear,Moderate,Yes
SHIP004582,Bangalore,Mumbai,2023-05-23,2023-05-27,2023-05-27,Container,1438,Clear,Light,No
SHIP004583,Ahmedabad,Delhi,2023-04-16,2023-04-19,2023-04-24,Container,983,Rain,Light,Yes
SHIP004584,Chennai,Ahmedabad,2023-02-24,2023-02-25,2023-02-26,Container,357,Clear,Moderate,Yes
SHIP004585,Hyderabad,Delhi,2024-04-29,2024-04-30,2024-05-04,Trailer,439,Clear,Light,Yes
SHIP004586,Delhi,Ahmedabad,2023-12-25,2023-12-27,2024-01-03,Trailer,835,Fog,Moderate,Yes
SHIP004587,Chennai,Kolkata,2024-04-25,2024-04-29,2024-04-29,Container,1483,Clear,Light,No
SHIP004588,Kolkata,Jaipur,2023-12-14,2023-12-19,2023-12-19,Trailer,1785,Clear,Light,No
SHIP004589,Ahmedabad,Lucknow,2023-01-01,2023-01-07,2023-01-11,Trailer,1983,Clear,Light,Yes
SHIP004590,Kolkata,Pune,2023-03-13,2023-03-17,2023-03-20,Trailer,1292,Clear,Moderate,Yes
SHIP004591,Hyderabad,Lucknow,2024-04-03,2024-04-07,2024-04-08,Truck,1262,Clear,Moderate,Yes
SHIP004592,Mumbai,Hyderabad,2023-10-27,2023-10-28,2023-10-28,,549,Clear,Light,No
SHIP004593,Mumbai,Jaipur,2023-02-18,2023-02-22,2023-02-24,Trailer,1408,Clear,Light,Yes
SHIP004594,Hyderabad,Kolkata,2023-04-04,2023-04-10,2023-04-14,Truck,1962,Fog,Heavy,Yes
SHIP004595,Ahmedabad,Bangalore,2024-03-23,2024-03-24,2024-03-27,Lorry,215,Storm,Light,Yes
SHIP004596,Chennai,Mumbai,2024-05-26,2024-05-31,2024-06-01,Container,1505,Rain,Light,Yes
SHIP004597,Ahmedabad,Kolkata,2023-04-23,2023-04-24,2023-04-29,Lorry,573,Clear,Moderate,Yes
SHIP004598,Hyderabad,Bangalore,2024-02-07,2024-02-09,2024-02-09,Truck,622,Clear,Light,No
SHIP004599,Mumbai,Lucknow,2024-04-06,2024-04-09,2024-04-09,Truck,1027,Clear,Light,No
SHIP004600,Pune,Hyderabad,2023-11-10,2023-11-14,2023-11-15,Container,1238,Clear,Moderate,Yes
SHIP004601,Kolkata,Bangalore,2023-12-28,2023-12-30,2023-12-30,Truck,798,Clear,Light,No
SHIP004602,Mumbai,Jaipur,2023-07-22,2023-07-28,2023-07-30,Truck,1895,Fog,Light,Yes
SHIP004603,Delhi,Lucknow,2023-03-27,2023-03-30,2023-04-01,Container,1028,Clear,Heavy,Yes
SHIP004604,Pune,Jaipur,2023-08-19,2023-08-22,2023-08-26,Truck,1092,Clear,Light,Yes
SHIP004605,Ahmedabad,Hyderabad,2023-01-21,2023-01-24,2023-01-31,Container,1016,Rain,Heavy,Yes
SHIP004606,Pune,Lucknow,2024-03-01,2024-03-05,2024-03-07,Container,1241,Clear,Heavy,Yes
SHIP004607,Ahmedabad,Bangalore,2023-02-12,2023-02-16,2023-02-22,Truck,1232,Rain,Light,Yes
SHIP004608,Hyderabad,Jaipur,2024-04-12,2024-04-13,2024-04-21,Lorry,540,Fog,Moderate,Yes
SHIP004609,Jaipur,Kolkata,2024-01-25,2024-01-30,2024-01-31,Trailer,1537,Rain,Light,Yes
SHIP004610,Ahmedabad,Jaipur,2023-09-14,2023-09-17,2023-09-17,Container,918,Clear,Light,No
SHIP004611,Jaipur,Chennai,2023-05-30,2023-06-05,2023-06-06,Lorry,1904,Clear,Moderate,Yes
SHIP004612,Bangalore,Ahmedabad,2023-10-24,2023-10-27,2023-10-27,Trailer,1148,Clear,Light,No
SHIP004613,Delhi,Chennai,2024-04-10,2024-04-14,2024-04-20,Lorry,1294,Storm,Light,Yes
SHIP004614,Jaipur,Mumbai,2024-04-04,2024-04-06,2024-04-13,Truck,743,Fog,Heavy,Yes
SHIP004615,Jaipur,Bangalore,2024-01-31,2024-02-02,2024-02-03,,761,Clear,Moderate,Yes
SHIP004616,Kolkata,Lucknow,2023-09-13,2023-09-16,2023-09-18,Lorry,1140,Clear,Heavy,Yes
SHIP004617,Kolkata,Delhi,2023-01-05,2023-01-06,2023-01-11,Truck,279,Clear,Moderate,Yes
SHIP004618,Kolkata,Delhi,2023-02-13,2023-02-19,2023-02-21,Trailer,1870,Fog,Light,Yes
SHIP004619,Bangalore,Mumbai,2023-04-11,2023-04-15,2023-04-21,Truck,1245,Clear,Moderate,Yes
SHIP004620,Mumbai,Kolkata,2023-07-04,2023-07-07,2023-07-08,Truck,1121,Clear,Moderate,Yes
SHIP004621,Delhi,Pune,2024-02-11,2024-02-17,2024-02-19,Truck,1835,Clear,Heavy,Yes
SHIP004622,Delhi,Kolkata,2023-03-24,2023-03-30,2023-03-30,Truck,1801,Clear,Light,No
SHIP004623,Delhi,Lucknow,2023-03-13,2023-03-15,2023-03-16,Truck,699,Clear,Moderate,Yes
SHIP004624,Hyderabad,Lucknow,2024-02-03,2024-02-08,2024-02-10,Truck,1505,Rain,Moderate,Yes
SHIP004625,Delhi,Kolkata,2024-01-28,2024-02-02,2024-02-02,Truck,1756,Clear,Light,No
SHIP004626,Bangalore,Ahmedabad,2023-03-30,2023-04-04,2023-04-12,Lorry,1520,Fog,Heavy,Yes
SHIP004627,Mumbai,Kolkata,2023-03-02,2023-03-06,2023-03-07,Container,1466,Rain,Light,Yes
SHIP004628,Mumbai,Bangalore,2023-07-13,2023-07-19,2023-07-24,Container,1918,Storm,Light,Yes
SHIP004629,Jaipur,Chennai,2023-12-22,2023-12-27,2024-01-01,Container,1720,Clear,Heavy,Yes
SHIP004630,Mumbai,Ahmedabad,2024-05-11,2024-05-15,2024-05-15,Container,1239,Clear,Light,No
SHIP004631,Jaipur,Bangalore,2024-05-31,2024-06-05,2024-06-06,Lorry,1740,Clear,Moderate,Yes
SHIP004632,Jaipur,Ahmedabad,2024-02-17,2024-02-19,2024-02-25,Container,709,Fog,Moderate,Yes
SHIP004633,Pune,Mumbai,2023-01-14,2023-01-20,2023-01-21,Truck,1844,Clear,Moderate,Yes
SHIP004634,Chennai,Delhi,2024-01-19,2024-01-25,2024-01-27,Lorry,1979,Clear,Heavy,Yes
SHIP004635,Lucknow,Mumbai,2023-10-25,2023-10-27,2023-10-29,Lorry,674,Clear,Light,Yes
SHIP004636,Chennai,Hyderabad,2023-11-22,2023-11-23,2023-11-25,Truck,421,Clear,Heavy,Yes
SHIP004637,Delhi,Chennai,2023-10-17,2023-10-23,2023-10-27,Truck,1931,Storm,Moderate,Yes
SHIP004638,Chennai,Pune,2023-02-19,2023-02-21,2023-02-22,Lorry,833,Clear,Moderate,Yes
SHIP004639,Hyderabad,Ahmedabad,2023-01-16,2023-01-17,2023-01-17,Trailer,373,Clear,Light,No
SHIP004640,Jaipur,Bangalore,2023-03-04,2023-03-06,2023-03-08,Trailer,777,Fog,Light,Yes
SHIP004641,Kolkata,Jaipur,2024-03-21,2024-03-25,2024-03-27,Container,1348,Clear,Heavy,Yes
SHIP004642,Ahmedabad,Bangalore,2023-01-09,2023-01-10,2023-01-10,Lorry,346,Clear,Light,No
SHIP004643,Mumbai,Lucknow,2024-03-15,2024-03-18,2024-03-19,Container,1128,Clear,Moderate,Yes
SHIP004644,Hyderabad,Bangalore,2024-02-11,2024-02-13,2024-02-15,Truck,821,Clear,Heavy,Yes
SHIP004645,Delhi,Mumbai,2024-02-18,2024-02-22,2024-02-27,Truck,1346,Clear,Light,Yes
SHIP004646,Bangalore,Pune,2024-04-30,2024-05-01,2024-05-02,Lorry,406,Clear,Moderate,Yes
SHIP004647,Pune,Bangalore,2023-12-04,2023-12-05,2023-12-08,Truck,224,Fog,Moderate,Yes
SHIP004648,Bangalore,Ahmedabad,2023-11-30,2023-12-05,2023-12-09,Lorry,1533,Fog,Heavy,Yes
SHIP004649,Kolkata,Pune,2024-01-30,2024-02-02,2024-02-04,Container,942,Rain,Moderate,Yes
SHIP004650,Ahmedabad,Chennai,2024-03-25,2024-03-27,2024-03-28,Trailer,639,Rain,Light,Yes
SHIP004651,Ahmedabad,Jaipur,2023-03-07,2023-03-12,2023-03-12,Trailer,1710,Clear,Light,No
SHIP004652,Hyderabad,Lucknow,2023-06-08,2023-06-14,2023-06-15,Lorry,1938,Clear,Moderate,Yes
SHIP004653,Mumbai,Ahmedabad,2023-07-26,2023-07-30,2023-07-30,Trailer,1495,Clear,Light,No
SHIP004654,Ahmedabad,Chennai,2023-06-18,2023-06-24,2023-06-28,Trailer,1836,Fog,Heavy,Yes
SHIP004655,Kolkata,Delhi,2023-07-01,2023-07-05,2023-07-07,Truck,1478,Fog,Light,Yes
SHIP004656,Kolkata,Pune,2023-03-23,2023-03-25,2023-03-29,Lorry,801,Clear,Light,Yes
SHIP004657,Hyderabad,Kolkata,2023-06-20,2023-06-21,2023-06-22,Truck,507,Clear,Moderate,Yes
SHIP004658,Chennai,Bangalore,2023-11-28,2023-11-29,2023-12-01,Trailer,445,Rain,Moderate,Yes
SHIP004659,Lucknow,Kolkata,2023-07-14,2023-07-17,2023-07-17,Trailer,1037,Clear,Light,No
SHIP004660,Chennai,Hyderabad,2024-01-29,2024-01-30,2024-02-02,Trailer,501,Clear,Light,Yes
SHIP004661,Pune,Bangalore,2023-11-11,2023-11-14,2023-11-19,Lorry,958,Storm,Heavy,Yes
SHIP004662,Pune,Kolkata,2024-02-27,2024-03-02,2024-03-03,Truck,1275,Clear,Moderate,Yes
SHIP004663,Kolkata,Bangalore,2024-01-11,2024-01-16,2024-01-17,Trailer,1537,Rain,Light,Yes
SHIP004664,Lucknow,Kolkata,2023-09-05,2023-09-06,2023-09-06,Container,302,Clear,Light,No
SHIP004665,Kolkata,Bangalore,2024-01-16,2024-01-17,2024-01-17,Container,340,Clear,Light,No
SHIP004666,Pune,Chennai,2024-04-18,2024-04-23,2024-04-25,Lorry,1764,Fog,Light,Yes
SHIP004667,Delhi,Ahmedabad,2023-06-18,2023-06-21,2023-06-23,Container,1073,Clear,Heavy,Yes
SHIP004668,Bangalore,Mumbai,2024-02-20,2024-02-26,2024-02-26,Trailer,1858,Clear,Light,No
SHIP004669,Hyderabad,Bangalore,2023-01-03,2023-01-06,2023-01-04,Lorry,324,Clear,Heavy,Yes
SHIP004670,Lucknow,Hyderabad,2023-02-19,2023-02-24,2023-02-24,Lorry,1612,Clear,Light,No
SHIP004671,Kolkata,Lucknow,2023-04-01,2023-04-03,2023-04-07,Lorry,656,Clear,Light,Yes
SHIP004672,Pune,Delhi,2023-04-05,2023-04-09,2023-04-11,Container,1416,Rain,Moderate,Yes
SHIP004673,Bangalore,Lucknow,2023-09-17,2023-09-20,2023-09-22,Lorry,992,Rain,Moderate,Yes
SHIP004674,Mumbai,Pune,2023-02-21,2023-02-24,2023-02-24,Trailer,1157,Clear,Light,No
SHIP004675,Pune,Jaipur,2023-06-21,2023-06-25,2023-06-26,Lorry,1382,Clear,Moderate,Yes
SHIP004676,Jaipur,Bangalore,2023-02-07,2023-02-10,2023-02-11,Truck,1046,Rain,Light,Yes
SHIP004677,Jaipur,Kolkata,2023-09-14,2023-09-15,2023-09-15,Trailer,376,Clear,Light,No
SHIP004678,Ahmedabad,Jaipur,2024-04-10,2024-04-15,2024-04-20,Truck,1739,Clear,Moderate,Yes
SHIP004679,Mumbai,Kolkata,2023-07-12,2023-07-17,2023-07-15,Lorry,1167,Rain,Moderate,Yes
SHIP004680,Pune,Mumbai,2024-01-28,2024-02-02,2024-02-03,Trailer,1627,Rain,Light,Yes
SHIP004681,Kolkata,Chennai,2023-05-15,2023-05-20,2023-05-20,Trailer,1547,Clear,Light,No
SHIP004682,Pune,Hyderabad,2024-03-13,2024-03-15,2024-03-20,Trailer,751,Storm,Heavy,Yes
SHIP004683,Chennai,Hyderabad,2023-05-22,2023-05-23,2023-05-24,Trailer,307,Clear,Moderate,Yes
SHIP004684,Ahmedabad,Bangalore,2024-03-03,2024-03-07,2024-03-09,Lorry,1495,Clear,Light,Yes
SHIP004685,Bangalore,Hyderabad,2023-05-15,2023-05-17,2023-05-22,Trailer,836,Clear,Moderate,Yes
SHIP004686,Lucknow,Ahmedabad,2024-02-01,2024-02-02,2024-02-08,Trailer,524,Clear,Moderate,Yes
SHIP004687,Chennai,Delhi,2023-08-22,2023-08-23,2023-08-23,Trailer,419,Clear,Light,No
SHIP004688,Hyderabad,Delhi,2023-12-11,2023-12-13,2023-12-15,Container,724,Clear,Heavy,Yes
SHIP004689,Delhi,Ahmedabad,2023-01-16,2023-01-19,2023-01-20,Trailer,925,Clear,Moderate,Yes
SHIP004690,Delhi,Pune,2024-04-14,2024-04-17,2024-04-18,Trailer,1039,Clear,Moderate,Yes
SHIP004691,Lucknow,Delhi,2023-05-02,2023-05-03,2023-05-04,Container,573,Clear,Moderate,Yes
SHIP004692,Bangalore,Hyderabad,2023-07-28,2023-07-29,2023-07-29,Truck,597,Clear,Light,No
SHIP004693,Hyderabad,Bangalore,2023-02-11,2023-02-12,2023-02-13,Truck,428,Clear,Moderate,Yes
SHIP004694,Delhi,Hyderabad,2024-02-12,2024-02-17,2024-02-17,Trailer,1622,Clear,Light,No
SHIP004695,Chennai,Mumbai,2023-07-04,2023-07-05,2023-07-05,Lorry,231,Clear,Light,No
SHIP004696,Mumbai,Delhi,2023-03-18,2023-03-20,2023-03-21,Lorry,630,Clear,Moderate,Yes
SHIP004697,Hyderabad,Mumbai,2023-01-25,2023-01-31,2023-01-31,Container,1987,Clear,Light,No
SHIP004698,Chennai,Jaipur,2024-03-11,2024-03-12,2024-03-16,Lorry,551,Clear,Moderate,Yes
SHIP004699,Bangalore,Delhi,2023-03-14,2023-03-20,2023-03-22,Trailer,1811,Clear,Heavy,Yes
SHIP004700,Jaipur,Mumbai,2023-12-14,2023-12-15,2023-12-17,Container,531,Clear,Heavy,Yes
SHIP004701,Mumbai,Chennai,2023-07-07,2023-07-12,2023-07-12,Lorry,1720,Clear,Light,No
SHIP004702,Ahmedabad,Mumbai,2023-12-16,2023-12-20,2023-12-20,Lorry,1499,Clear,Light,No
SHIP004703,Bangalore,Mumbai,2023-10-12,2023-10-18,2023-10-21,Truck,1890,Clear,Moderate,Yes
SHIP004704,Chennai,Ahmedabad,2023-12-07,2023-12-11,2023-12-11,,1299,Clear,Light,No
SHIP004705,Bangalore,Delhi,2023-06-14,2023-06-15,2023-06-20,,489,Rain,Moderate,Yes
SHIP004706,Pune,Mumbai,2024-04-21,2024-04-27,2024-04-28,Truck,1914,Clear,Moderate,Yes
SHIP004707,Lucknow,Pune,2024-04-27,2024-04-30,2024-04-30,,1039,Clear,Light,No
SHIP004708,Lucknow,Bangalore,2023-08-15,2023-08-21,2023-08-21,Lorry,1889,Clear,Light,No
SHIP004709,Mumbai,Pune,2023-05-29,2023-06-01,2023-06-02,Lorry,1011,Clear,Moderate,Yes
SHIP004710,Hyderabad,Jaipur,2024-03-16,2024-03-20,2024-03-24,Trailer,1355,Clear,Heavy,Yes
SHIP004711,Delhi,Mumbai,2024-01-07,2024-01-08,2024-01-10,Container,258,Clear,Heavy,Yes
SHIP004712,Ahmedabad,Hyderabad,2023-02-13,2023-02-16,2023-02-16,Truck,967,Clear,Light,No
SHIP004713,Ahmedabad,Mumbai,2023-10-12,2023-10-16,2023-10-19,Truck,1325,Clear,Light,Yes
SHIP004714,Delhi,Jaipur,2023-07-17,2023-07-22,2023-07-24,Container,1775,Clear,Light,Yes
SHIP004715,Delhi,Hyderabad,2024-03-20,2024-03-22,2024-03-24,Container,774,Clear,Light,Yes
SHIP004716,Jaipur,Pune,2023-05-23,2023-05-24,2023-05-25,Container,575,Clear,Moderate,Yes
SHIP004717,Delhi,Kolkata,2023-04-02,2023-04-03,2023-04-06,Lorry,219,Storm,Light,Yes
SHIP004718,Chennai,Hyderabad,2023-03-17,2023-03-18,2023-03-19,Lorry,426,Clear,Moderate,Yes
SHIP004719,Ahmedabad,Pune,2023-09-10,2023-09-13,2023-09-16,Container,1037,Clear,Light,Yes
SHIP004720,Mumbai,Chennai,2023-06-17,2023-06-22,2023-06-23,Truck,1648,Clear,Moderate,Yes
SHIP004721,Kolkata,Lucknow,2024-02-19,2024-02-20,2024-02-24,Truck,584,Clear,Light,Yes
SHIP004722,Kolkata,Jaipur,2024-01-03,2024-01-07,2024-01-07,Container,1325,Clear,Light,No
SHIP004723,Pune,Kolkata,2023-10-03,2023-10-08,2023-10-13,Truck,1769,Rain,Moderate,Yes
SHIP004724,Mumbai,Delhi,2024-04-07,2024-04-11,2024-04-13,Container,1395,Rain,Moderate,Yes
SHIP004725,Delhi,Mumbai,2023-11-04,2023-11-09,2023-11-10,Lorry,1777,Clear,Moderate,Yes
SHIP004726,Pune,Lucknow,2023-11-12,2023-11-14,2023-11-15,Container,611,Clear,Moderate,Yes
SHIP004727,Bangalore,Kolkata,2023-01-24,2023-01-28,2023-01-29,Container,1324,Clear,Moderate,Yes
SHIP004728,Mumbai,Delhi,2023-11-22,2023-11-27,2023-11-28,Container,1632,Clear,Moderate,Yes
SHIP004729,Hyderabad,Pune,2024-02-10,2024-02-12,2024-02-13,Truck,853,Clear,Moderate,Yes
SHIP004730,Delhi,Hyderabad,2023-04-08,2023-04-13,2023-04-13,Container,1527,Clear,Light,No
SHIP004731,Ahmedabad,Delhi,2023-04-14,2023-04-15,2023-04-19,Lorry,358,Rain,Light,Yes
SHIP004732,Pune,Chennai,2023-04-23,2023-04-27,2023-04-30,Truck,1295,Rain,Heavy,Yes
SHIP004733,Chennai,Delhi,2023-03-06,2023-03-10,2023-03-15,Truck,1309,Clear,Heavy,Yes
SHIP004734,Bangalore,Mumbai,2023-10-22,2023-10-28,2023-11-04,Lorry,1855,Fog,Moderate,Yes
SHIP004735,Lucknow,Kolkata,2023-03-29,2023-04-04,2023-04-10,Trailer,1831,Rain,Light,Yes
SHIP004736,Lucknow,Delhi,2023-10-10,2023-10-16,2023-10-18,Container,1802,Clear,Heavy,Yes
SHIP004737,Hyderabad,Jaipur,2024-01-25,2024-01-31,2024-02-04,Trailer,1861,Rain,Moderate,Yes
SHIP004738,Pune,Kolkata,2023-06-28,2023-06-29,2023-07-01,Lorry,285,Fog,Light,Yes
SHIP004739,Ahmedabad,Mumbai,2023-12-19,2023-12-24,2023-12-24,Container,1585,Clear,Light,No
SHIP004740,Ahmedabad,Bangalore,2023-08-29,2023-09-04,2023-09-06,Container,1929,Clear,Light,Yes
SHIP004741,Mumbai,Jaipur,2024-01-30,2024-02-01,2024-02-07,Container,889,Clear,Moderate,Yes
SHIP004742,Bangalore,Kolkata,2023-04-23,2023-04-24,2023-04-28,Lorry,268,Clear,Heavy,Yes
SHIP004743,Chennai,Hyderabad,2024-04-05,2024-04-09,2024-04-09,Truck,1237,Clear,Light,No
SHIP004744,Chennai,Lucknow,2024-01-23,2024-01-26,2024-01-26,Trailer,1196,Clear,Light,No
SHIP004745,Jaipur,Ahmedabad,2023-05-31,2023-06-06,2023-06-09,Lorry,1945,Clear,Light,Yes
SHIP004746,Lucknow,Delhi,2024-04-05,2024-04-10,2024-04-13,Container,1540,Clear,Moderate,Yes
SHIP004747,Hyderabad,Kolkata,2023-11-26,2023-11-27,2023-12-04,Trailer,309,Storm,Moderate,Yes
SHIP004748,Pune,Delhi,2023-11-19,2023-11-22,2023-11-23,Trailer,979,Clear,Moderate,Yes
SHIP004749,Bangalore,Jaipur,2024-05-06,2024-05-09,2024-05-11,Lorry,1020,Rain,Moderate,Yes
SHIP004750,Pune,Bangalore,2024-04-09,2024-04-10,2024-04-10,Lorry,511,Clear,Light,No
SHIP004751,Lucknow,Jaipur,2023-01-23,2023-01-24,2023-01-27,Container,432,Fog,Moderate,Yes
SHIP004752,Ahmedabad,Delhi,2024-04-09,2024-04-10,2024-04-12,Lorry,455,Clear,Heavy,Yes
SHIP004753,Lucknow,Delhi,2023-11-11,2023-11-13,2023-11-15,Container,755,Fog,Light,Yes
SHIP004754,Chennai,Lucknow,2024-05-24,2024-05-29,2024-05-30,Trailer,1554,Rain,Light,Yes
SHIP004755,Chennai,Delhi,2024-03-10,2024-03-14,2024-03-14,Trailer,1208,Clear,Light,No
SHIP004756,Hyderabad,Delhi,2024-01-08,2024-01-12,2024-01-14,Lorry,1332,Clear,Heavy,Yes
SHIP004757,Kolkata,Delhi,2023-06-18,2023-06-19,2023-06-20,Truck,574,Clear,Moderate,Yes
SHIP004758,Delhi,Kolkata,2023-07-01,2023-07-04,2023-07-07,Lorry,1155,Storm,Light,Yes
SHIP004759,Pune,Jaipur,2024-03-18,2024-03-24,2024-03-26,Lorry,1852,Clear,Heavy,Yes
SHIP004760,Chennai,Kolkata,2023-10-16,2023-10-21,2023-10-21,Lorry,1658,Clear,Light,No
